Column1,Column2,Column3,Column4,Column5,ids_row
"16. помещение объект № 2 (вспомогательный),  г. благовещенск, пер. св.иннокентия, 17",260.0,2019.0,"Текущий ремонт зданий, сооружений",0.0,
"14.помещение объект № 2 (вспомогательный),  г. благовещенск, пер. св.иннокентия, 17 (04-07-01-00-00-003)",287.0,2020.0,"Текущий ремонт зданий, сооружений",0.0,04-07-01-00-00-003
"3.помещение объект № 2 (вспомогательный),  г. благовещенск, пер. св.иннокентия, 17 (04-07-01-00-00-003)",135.0,2022.0,"Текущий ремонт зданий, сооружений",0.0,04-07-01-00-00-003
"помещение объект № 2 (вспомогательный),  г. благовещенск, пер. св.иннокентия, 17 (04-07-01-00-00-003) (ремонт помещений)",231.0,2021.0,"Текущий ремонт зданий, сооружений",0.0,04-07-01-00-00-003
"помещение объект № 2 (вспомогательный),  г. благовещенск, пер. св.иннокентия, 17 корпус 2, помещение 20001 (04-07-01-00-00-003) (ремонт входа и помещения № 3)",353.06,2023.0,"Текущий ремонт зданий, сооружений",0.0,04-07-01-00-00-003
"18. административное здание, г. райчихинск, ул. победы, 49",0.0,2019.0,"Текущий ремонт зданий, сооружений",7.0,
"капитальный ремонт гаража по адресу: амурская область, г. благовещенск, пер. святителя иннокентия, 17",13677.35,2017.0,Капитальный ремонт,10.0,
"12. административное здание, г. благовещенск, пер. св. иннокентия, 17",997.0,2019.0,"Текущий ремонт зданий, сооружений",22.0,
"11. административное здание,  г. благовещенск, пер. св. иннокентия, 17 (04-01-02-00-01-001(комп.))",592.0,2020.0,"Текущий ремонт зданий, сооружений",22.0,04-01-02-00-01-001
"13. административное (пристройка) г. благовещенск, пер. св. иннокентия, 17",365.0,2019.0,"Текущий ремонт зданий, сооружений",24.0,
"выборочный капитальный ремонт, в части замены оконных блоков, объекта-административное (пристройка) по адресу: амурская область, г. благовещенск, пер.святителя иннокентия, 17",844.27,2018.0,Капитальный ремонт,24.0,
"1. административное (пристройка),  г. благовещенск, пер. св.иннокентия, 17 (04-01-01-00-02-002 (комп.))",150.0,2022.0,"Текущий ремонт зданий, сооружений",24.0,04-01-01-00-02-002
"12. административное (пристройка) по адресу: г. благовещенск, пер. св. иннокентия, 17 (04-01-01-00-02-002(комп))",240.0,2020.0,"Текущий ремонт зданий, сооружений",24.0,04-01-01-00-02-002
"административное (пристройка) по адресу: г. благовещенск, пер. св. иннокентия, 17 (04-01-01-00-02-002(комп)) (демонтаж/монтаж итсо)",24.37,2021.0,"Текущий ремонт зданий, сооружений",24.0,04-01-01-00-02-002
"административное (пристройка) по адресу: г. благовещенск, пер. св. иннокентия, 17 (04-01-01-00-02-002(комп)) (демонтаж/монтаж итсо)",37.38,2021.0,"Текущий ремонт зданий, сооружений",24.0,04-01-01-00-02-002
"административное (пристройка) по адресу: г. благовещенск, пер. св. иннокентия, 17 (04-01-01-00-02-002(комп)) (ремонт помещений) ",243.55,2021.0,"Текущий ремонт зданий, сооружений",24.0,04-01-01-00-02-002
"административное (пристройка) по адресу: г. благовещенск, пер. св. иннокентия, 17 (04-01-01-00-02-002(комп)) установка металлических решеток на оконных проемов",213.7,2021.0,"Текущий ремонт зданий, сооружений",24.0,04-01-01-00-02-002
"административное (пристройка), по адресу: г. благовещенск, пер. св. иннокентия, 17 корпус 1 (04-01-01-00-02-002(комп)) (ремонт приямков, ремонт кровли) ",257.0,2023.0,"Текущий ремонт зданий, сооружений",24.0,04-01-01-00-02-002
"15. административное здание г. благовещенск, ул. б.хмельницкого, 52/2",499.0,2019.0,"Текущий ремонт зданий, сооружений",26.0,
"выборочный капитальный ремонт административного здания, расположенного по адресу: г. благовещенск, ул. б. хмельницкого, д. 52/2",44553.69,2018.0,Капитальный ремонт,26.0,
"выборочный капитальный ремонт административного здания, расположенного по адресу: г. благовещенск, ул.б.хмельницкого, д. 52/2",45464.74,2019.0,Капитальный ремонт,26.0,
"выборочный капитальный ремонт административного здания, расположенного по адресу: г.благовещенск, ул.б.хмельницкого, д. 52/2 ",47222803.0,2020.0,Капитальный ремонт,26.0,
"создание системы автоматического газового пожаротушения  в хранилище к зданию по адресу: амурская область, г. благовещенск, ул. б. хмельницкого, 52/2",3550.16,2019.0,Капитальное строительство,26.0,
"создание системы автоматического газового пожаротушения в хранилище к зданию по адресу: амурская область, г. благовещенск, ул. б. хмельницкого, 52/2",3329.38,2018.0,Капитальное строительство,26.0,
"создание системы автоматического газового пожаротушения в хранилище к зданию по адресу: амурская область, г.благовещенск, ул. б. хмельницкого, 52/2",4528946.0,2020.0,Капитальное строительство,26.0,
"создание системы автоматического газового пожаротушения в хранилище к зданию по адресу: амурская область, г.благовещенск, ул. б. хмельницкого, 52/2",5443001.0,2021.0,Капитальное строительство,26.0,
"создание системы кондиционирования административного здания по адресу: амурская область, г. благовещенск, ул. б. хмельницкого, 52/2",8888.82,2018.0,Капитальное строительство,26.0,
"создание системы кондиционирования административного здания по адресу: амурская область, г.благовещенск, ул. б. хмельницкого, 52/2",8888.82,2019.0,Капитальное строительство,26.0,
"создание системы кондиционирования административного здания по адресу: амурская область, г.благовещенск, ул. б. хмельницкого, 52/2",4667631.0,2020.0,Капитальное строительство,26.0,
"создание системы кондиционирования административного здания по адресу: амурская область, г.благовещенск, ул. б. хмельницкого, 52/2",7423212.0,2021.0,Капитальное строительство,26.0,
"создание системы кондиционирования административного здания по адресу: амурская область, г.благовещенск, ул. б. хмельницкого, 52/2",14255841.0,2022.0,Капитальное строительство,26.0,
